English,Korean,Japanese,French,Spanish,Russian,Italian,Chinese,Vietnamese,Danish,Polish,Turkish,German
apple,사과,りんご,pomme,manzana,яблоко,mela,苹果,táo,æble,jabłko,elma,Apfel
aquarium_fish,수족관 물고기,水槽の魚,poisson d’aquarium,pez de acuario,аквариумная рыбка,pesce d’acquario,观赏鱼,cá cảnh,akvariefisk,ryba akwariowa,akvaryum balığı,Aquarienfisch
baby,아기,赤ちゃん,bébé,bebé,младенец,bambino,婴儿,em bé,baby,dziecko,bebek,Baby
bear,곰,くま,ours,oso,медведь,orso,熊,gấu,bjørn,niedźwiedź,ayı,Bär
beaver,비버,ビーバー,castor,castor,бобр,castoro,海狸,hải ly,bæver,bóbr,kunduz,Biber
bed,침대,ベッド,lit,cama,кровать,letto,床,giường,seng,łóżko,yatak,Bett
bee,벌,ハチ,abeille,abeja,пчела,ape,蜜蜂,ong,bi,pszczoła,arı,Biene
beetle,딱정벌레,カブトムシ,scarabée,escarabajo,жук,scarabeo,甲虫,bọ cánh cứng,bille,chrząszcz,böcek,Käfer
bicycle,자전거,自転車,vélo,bicicleta,велосипед,bicicletta,自行车,xe đạp,cykel,rower,bisiklet,Fahrrad
bottle,병,ボトル,bouteille,botella,бутылка,bottiglia,瓶子,chai,flaske,butelka,şişe,Flasche
bowl,그릇,ボウル,bol,cuenco,миска,ciotola,碗,bát,skål,miska,kase,Schüssel
boy,소년,男の子,garçon,niño,мальчик,ragazzo,男孩,cậu bé,dreng,chłopiec,erkek çocuk,Junge
bridge,다리,橋,pont,puente,мост,ponte,桥,cầu,bro,most,köprü,Brücke
bus,버스,バス,autobus,autobús,автобус,autobus,公共汽车,xe buýt,bus,autobus,otobüs,Bus
butterfly,나비,蝶,papillon,mariposa,бабочка,farfalla,蝴蝶,bướm,sommerfugl,motyl,kelebek,Schmetterling
camel,낙타,ラクダ,chameau,camello,верблюд,cammello,骆驼,lạc đà,kamel,wielbłąd,deve,Kamel
can,캔,缶,canette,lata,жестяная банка,lattina,罐头,lon,dåse,puszka,kutu,Dose
castle,성,城,château,castillo,замок,castello,城堡,lâu đài,slot,zamek,kale,Schloss
caterpillar,애벌레,イモムシ,chenille,oruga,гусеница,bruco,毛毛虫,sâu bướm,larve,gąsienica,tırtıl,Raupe
cattle,소,牛,bétail,ganado,крупный рогатый скот,bestiame,牛,gia súc,kvæg,bydło,sığır,Vieh
chair,의자,椅子,chaise,silla,стул,sedia,椅子,ghế,stol,krzesło,sandalye,Stuhl
chimpanzee,침팬지,チンパンジー,chimpanzé,chimpancé,шимпанзе,scimpanzé,黑猩猩,tinh tinh,chimpanse,szympans,şempanze,Schimpanse
clock,시계,時計,horloge,reloj,часы,orologio,钟,đồng hồ,ur,zegar,saat,Uhr
cloud,구름,雲,nuage,nube,облако,nuvola,云,mây,sky,chmura,bulut,Wolke
cockroach,바퀴벌레,ゴキブリ,cafard,cucaracha,таракан,scarafaggio,蟑螂,gián,kakerlak,karaluch,hamamböceği,Kakerlake
couch,소파,ソファ,canapé,sofá,диван,divano,沙发,ghế sofa,sofa,kanapa,kanepe,Sofa
crab,게,カニ,crabe,cangrejo,краб,granchio,螃蟹,cua,krabbe,krab,yengeç,Krabbe
crocodile,악어,ワニ,crocodile,cocodrilo,крокодил,coccodrillo,鳄鱼,cá sấu,krokodille,krokodyl,timsah,Krokodil
cup,컵,カップ,tasse,taza,чашка,tazza,杯子,cốc,kop,kubek,kupa,Tasse
dinosaur,공룡,恐竜,dinosaure,dinosaurio,динозавр,dinosauro,恐龙,khủng long,dinosaur,dinozaur,dinozor,Dinosaurier
dolphin,돌고래,イルカ,dauphin,delfín,дельфин,delfino,海豚,cá heo,delfin,delfin,yunus,Delfin
elephant,코끼리,象,éléphant,elefante,слон,elefante,大象,voi,elefant,słoń,fil,Elefant
flatfish,가자미,カレイ,poisson plat,pez plano,камбала,platessa,比目鱼,cá bơn,rødspætte,flądra,yassı balık,Plattfisch
forest,숲,森,forêt,bosque,лес,foresta,森林,rừng,skov,las,orman,Wald
fox,여우,キツネ,renard,zorro,лиса,volpe,狐狸,cáo,ræv,lis,tilki,Fuchs
girl,소녀,女の子,fille,niña,девочка,ragazza,女孩,cô bé,pige,dziewczynka,kız çocuk,Mädchen
hamster,햄스터,ハムスター,hamster,hámster,хомяк,criceto,仓鼠,chuột hamster,hamster,chomik,hamster,Hamster
house,집,家,maison,casa,дом,casa,房子,ngôi nhà,hus,dom,ev,Haus
kangaroo,캥거루,カンガルー,kangourou,canguro,кенгуру,canguro,袋鼠,chuột túi,kænguru,kangur,kanguru,Känguru
keyboard,키보드,キーボード,clavier,teclado,клавиатура,tastiera,键盘,bàn phím,tastatur,klawiatura,klavye,Tastatur
lamp,램프,ランプ,lampe,lámpara,лампа,lampada,灯,đèn,lampe,lampa,lamba,Lampe
lawn_mower,잔디깎이,芝刈り機,tondeuse à gazon,cortacésped,газонокосилка,tosaerba,割草机,máy cắt cỏ,plæneklipper,kosiarka,çim biçme makinesi,Rasenmäher
leopard,표범,ヒョウ,léopard,leopardo,леопард,leopardo,豹子,báo,leopard,lampart,leopar,Leopard
lion,사자,ライオン,lion,león,лев,leone,狮子,sư tử,løve,lew,aslan,Löwe
lizard,도마뱀,トカゲ,lézard,lagarto,ящерица,lucertola,蜥蜴,thằn lằn,firben,jaszczurka,kertenkele,Eidechse
lobster,바닷가재,ロブスター,homard,langosta,омар,aragosta,龙虾,tôm hùm,hummer,homar,ıstakoz,Hummer
man,남자,男性,homme,hombre,мужчина,uomo,男人,người đàn ông,mand,mężczyzna,adam,Mann
maple_tree,단풍나무,カエデ,érable,arce,клен,acero,枫树,cây phong,løn,klon,akçaağaç,Ahornbaum
motorcycle,오토바이,オートバイ,moto,motocicleta,мотоцикл,motocicletta,摩托车,xe máy,motorcykel,motocykl,motosiklet,Motorrad
mountain,산,山,montagne,montaña,гора,montagna,山,núi,bjerg,góra,dağ,Berg
mouse,쥐,ネズミ,souris,ratón,мышь,topo,老鼠,chuột,mus,mysz,fare,Maus
mushroom,버섯,キノコ,champignon,hongo,гриб,fungo,蘑菇,nấm,svamp,grzyb,mantar,Pilz
oak_tree,참나무,オーク,chêne,roble,дуб,quercia,橡树,cây sồi,eg,dąb,meşe,Eiche
orange,오렌지,オレンジ,orange,naranja,апельсин,arancia,橘子,cam,appelsin,pomarańcza,portakal,Orange
orchid,난초,ラン,orchidée,orquídea,орхидея,orchidea,兰花,hoa lan,orkidé,storczyk,orkide,Orchidee
otter,수달,カワウソ,loutre,nutria,выдра,lontra,水獭,rái cá,odder,wydra,su samuru,Otter
palm_tree,야자수,ヤシの木,palmier,palmera,пальма,palma,棕榈树,cây cọ,palme,palma,palmiye ağacı,Palme
pear,배,洋ナシ,poire,pera,груша,pera,梨,lê,pære,gruszka,armut,Birne
pickup_truck,픽업트럭,ピックアップトラック,camionnette,camioneta,пикап,pickup,皮卡车,xe bán tải,pickuptruck,pickup,kamyonet,Pickup
pine_tree,소나무,松,pin,pino,сосна,pino,松树,cây thông,fyrretræ,sosna,çam ağacı,Kiefer
plain,평원,平原,plaine,llanura,равнина,pianura,平原,đồng bằng,slette,równina,ova,Ebene
